nombre_entidad,fecha_mes,tipo_de_persona,tipo_de_garantia,producto_de_credito,tipo_de_credito,plazo_de_credito,tasa_efectiva_promedio_ponderada
AV Villas,2025-02-28,Natural,Sin garantia,Tarjeta de crédito para ingresos hasta 2 SMMLV,Consumo,Consumos a más de 36 meses,24.1375
AV Villas,2025-02-28,Natural,Sin garantia,Tarjeta de crédito para ingresos hasta 2 SMMLV,Consumo,Consumos a un mes,0.0
AV Villas,2025-02-28,Natural,Sin garantia,Tarjeta de crédito para ingresos hasta 2 SMMLV,Consumo,Consumos entre 13 y 18 meses,25.557980769230767
AV Villas,2025-02-28,Natural,Sin garantia,Tarjeta de crédito para ingresos hasta 2 SMMLV,Consumo,Consumos entre 19 y 24 meses,25.994928366762178
AV Villas,2025-02-28,Natural,Sin garantia,Tarjeta de crédito para ingresos hasta 2 SMMLV,Consumo,Consumos entre 2 y 6 meses,25.618621611302025
AV Villas,2025-02-28,Natural,Sin garantia,Tarjeta de crédito para ingresos hasta 2 SMMLV,Consumo,Consumos entre 25 y 36 meses,25.963118081180813
AV Villas,2025-02-28,Natural,Sin garantia,Tarjeta de crédito para ingresos hasta 2 SMMLV,Consumo,Consumos entre 7 y 12 meses,25.524316644113668
AV Villas,2025-02-28,Natural,Sin garantia,Tarjeta de crédito para ingresos superiores a 2 SMMLV,Consumo,Avances en efectivo,26.06249620349279
AV Villas,2025-02-28,Natural,Sin garantia,Tarjeta de crédito para ingresos superiores a 2 SMMLV,Consumo,Consumos a más de 36 meses,18.453645251396647
AV Villas,2025-02-28,Natural,Sin garantia,Tarjeta de crédito para ingresos superiores a 2 SMMLV,Consumo,Consumos a un mes,0.0
AV Villas,2025-02-28,Natural,Sin garantia,Tarjeta de crédito para ingresos superiores a 2 SMMLV,Consumo,Consumos entre 13 y 18 meses,23.142406639004147
AV Villas,2025-02-28,Natural,Sin garantia,Tarjeta de crédito para ingresos superiores a 2 SMMLV,Consumo,Consumos entre 19 y 24 meses,23.542044642857142
AV Villas,2025-02-28,Natural,Sin garantia,Tarjeta de crédito para ingresos superiores a 2 SMMLV,Consumo,Consumos entre 2 y 6 meses,25.400012684319012
AV Villas,2025-02-28,Natural,Sin garantia,Tarjeta de crédito para ingresos superiores a 2 SMMLV,Consumo,Consumos entre 25 y 36 meses,25.486545684743614
AV Villas,2025-02-28,Natural,Sin garantia,Tarjeta de crédito para ingresos superiores a 2 SMMLV,Consumo,Consumos entre 7 y 12 meses,24.71106031502113
AV Villas,2025-03-31,Jurídica,Garantia idónea o no idónea,Construcción de proyectos de vivienda no vis (colocación en uvr),Comercial ordinario,Más de 1 año y hasta 3 años,6.46
AV Villas,2025-03-31,Jurídica,Garantia idónea o no idónea,Construcción de proyectos de vivienda vis (colocación en uvr),Comercial ordinario,Más de 1 año y hasta 3 años,7.0
AV Villas,2025-03-31,Jurídica,Garantia idónea o no idónea,Corporativo,Comercial preferencial o corporativo,Más de 3 años y hasta 5 años,12.643333333333333
AV Villas,2025-03-31,Jurídica,Garantia idónea o no idónea,Corporativo,Comercial preferencial o corporativo,Más de 5 años y hasta 7 años,13.49
AV Villas,2025-03-31,Jurídica,Garantia idónea o no idónea,Factoring,Comercial ordinario,Hasta 30 días,13.891724137931034
AV Villas,2025-03-31,Jurídica,Garantia idónea o no idónea,Factoring,Comercial ordinario,Más de 30 días y hasta 1 año,14.416902654867256
AV Villas,2025-03-31,Jurídica,Garantia idónea o no idónea,Financiero e institucional,Comercial ordinario,Más de 1 año y hasta 3 años,12.11
AV Villas,2025-03-31,Jurídica,Garantia idónea o no idónea,Oficial o Gobierno,Comercial ordinario,Hasta 30 días,14.835714285714285
AV Villas,2025-03-31,Jurídica,Garantia idónea o no idónea,Oficial o Gobierno,Comercial ordinario,Más de 30 días y hasta 1 año,14.468
AV Villas,2025-03-31,Jurídica,Garantia idónea o no idónea,Sobregiro en cuenta corriente persona jurídica o persona natural,Comercial ordinario,Hasta 30 días,24.91
AV Villas,2025-03-31,Jurídica,Garantia idónea o no idónea,Tarjeta de crédito empresarial,Comercial ordinario,Consumos a un mes,0.0
AV Villas,2025-03-31,Jurídica,Garantia idónea o no idónea,Tarjeta de crédito empresarial,Comercial ordinario,Consumos entre 2 y 6 meses,24.87
AV Villas,2025-03-31,Jurídica,Garantia idónea o no idónea,Tarjeta de crédito empresarial,Comercial ordinario,Consumos entre 25 y 36 meses,24.87
AV Villas,2025-03-31,Jurídica,Garantía  fondo nacional de garantías (FNG) o Fondo de Garantías de Antioquia (FGA),Corporativo,Comercial preferencial o corporativo,Más de 1 año y hasta 3 años,14.295
AV Villas,2025-03-31,Jurídica,Garantía  fondo nacional de garantías (FNG) o Fondo de Garantías de Antioquia (FGA),Corporativo,Comercial preferencial o corporativo,Más de 30 días y hasta 1 año,13.71
AV Villas,2025-03-31,Jurídica,Garantía  fondo nacional de garantías (FNG) o Fondo de Garantías de Antioquia (FGA),Crédito productivo de mayor monto (sin recursos de redescuento),Crédito productivo,Más de 1 año y hasta 3 años,17.401818181818182
AV Villas,2025-03-31,Jurídica,Garantía  fondo nacional de garantías (FNG) o Fondo de Garantías de Antioquia (FGA),Crédito productivo de mayor monto (sin recursos de redescuento),Crédito productivo,Más de 3 años y hasta 5 años,17.49
