Nombre_Tipo_Entidad,Tipo_de_persona,Tipo_de_crédito,Tipo_de_garantía,Producto de crédito,Plazo de crédito,Nombre_Entidad,by_month_fecha_corte,Tasa_efectiva_promedio_ponderada
BC-ESTABLECIMIENTO BANCARIO,Jurídica,Comercial ordinario,Garantía  fondo nacional de garantías (FNG) o Fondo de Garantías de Antioquia (FGA),Comerciales con recursos provenientes de redescuento,Más de 1 año y hasta 3 años,Bancolombia,03/01/2025 12:00:00 AM,19.026969696969697
BC-ESTABLECIMIENTO BANCARIO,Jurídica,Comercial ordinario,Garantía  fondo nacional de garantías (FNG) o Fondo de Garantías de Antioquia (FGA),Comerciales con recursos provenientes de redescuento,Más de 1 año y hasta 3 años,Bancolombia,04/01/2025 12:00:00 AM,19.168518518518519
BC-ESTABLECIMIENTO BANCARIO,Jurídica,Comercial ordinario,Garantía  fondo nacional de garantías (FNG) o Fondo de Garantías de Antioquia (FGA),Comerciales con recursos provenientes de redescuento,Más de 1 año y hasta 3 años,Bancolombia,05/01/2025 12:00:00 AM,21.17
BC-ESTABLECIMIENTO BANCARIO,Jurídica,Comercial ordinario,Garantía  fondo nacional de garantías (FNG) o Fondo de Garantías de Antioquia (FGA),Comerciales con recursos provenientes de redescuento,Más de 1 año y hasta 3 años,Bancoomeva,02/01/2025 12:00:00 AM,23.175
BC-ESTABLECIMIENTO BANCARIO,Jurídica,Comercial ordinario,Garantía  fondo nacional de garantías (FNG) o Fondo de Garantías de Antioquia (FGA),Comerciales con recursos provenientes de redescuento,Más de 1 año y hasta 3 años,Banco Popular,03/01/2025 12:00:00 AM,12.08
BC-ESTABLECIMIENTO BANCARIO,Jurídica,Comercial ordinario,Garantía  fondo nacional de garantías (FNG) o Fondo de Garantías de Antioquia (FGA),Comerciales con recursos provenientes de redescuento,Más de 1 año y hasta 3 años,Banco Serfinanza S.A.,02/01/2025 12:00:00 AM,12.56
BC-ESTABLECIMIENTO BANCARIO,Jurídica,Comercial ordinario,Garantía  fondo nacional de garantías (FNG) o Fondo de Garantías de Antioquia (FGA),Comerciales con recursos provenientes de redescuento,Más de 1 año y hasta 3 años,Banco Serfinanza S.A.,03/01/2025 12:00:00 AM,14.85
BC-ESTABLECIMIENTO BANCARIO,Jurídica,Comercial ordinario,Garantía  fondo nacional de garantías (FNG) o Fondo de Garantías de Antioquia (FGA),Comerciales con recursos provenientes de redescuento,Más de 1 año y hasta 3 años,Banco Serfinanza S.A.,05/01/2025 12:00:00 AM,11.355
BC-ESTABLECIMIENTO BANCARIO,Jurídica,Comercial ordinario,Garantía  fondo nacional de garantías (FNG) o Fondo de Garantías de Antioquia (FGA),Comerciales con recursos provenientes de redescuento,Más de 1 año y hasta 3 años,BBVA Colombia,02/01/2025 12:00:00 AM,15.397272727272727
BC-ESTABLECIMIENTO BANCARIO,Jurídica,Comercial ordinario,Garantía  fondo nacional de garantías (FNG) o Fondo de Garantías de Antioquia (FGA),Comerciales con recursos provenientes de redescuento,Más de 1 año y hasta 3 años,BBVA Colombia,03/01/2025 12:00:00 AM,19.733333333333333
BC-ESTABLECIMIENTO BANCARIO,Jurídica,Comercial ordinario,Garantía  fondo nacional de garantías (FNG) o Fondo de Garantías de Antioquia (FGA),Comerciales con recursos provenientes de redescuento,Más de 1 año y hasta 3 años,BBVA Colombia,04/01/2025 12:00:00 AM,18.624285714285714
BC-ESTABLECIMIENTO BANCARIO,Jurídica,Comercial ordinario,Garantía  fondo nacional de garantías (FNG) o Fondo de Garantías de Antioquia (FGA),Comerciales con recursos provenientes de redescuento,Más de 1 año y hasta 3 años,BBVA Colombia,05/01/2025 12:00:00 AM,18.3075
BC-ESTABLECIMIENTO BANCARIO,Jurídica,Comercial ordinario,Garantía  fondo nacional de garantías (FNG) o Fondo de Garantías de Antioquia (FGA),Comerciales con recursos provenientes de redescuento,Más de 1 año y hasta 3 años,Scotiabank Colpatria S.A.,02/01/2025 12:00:00 AM,14
BC-ESTABLECIMIENTO BANCARIO,Jurídica,Comercial ordinario,Garantía  fondo nacional de garantías (FNG) o Fondo de Garantías de Antioquia (FGA),Comerciales con recursos provenientes de redescuento,Más de 1 año y hasta 3 años,Scotiabank Colpatria S.A.,03/01/2025 12:00:00 AM,13.72
BC-ESTABLECIMIENTO BANCARIO,Jurídica,Comercial ordinario,Garantía  fondo nacional de garantías (FNG) o Fondo de Garantías de Antioquia (FGA),Comerciales con recursos provenientes de redescuento,Más de 1 año y hasta 3 años,Scotiabank Colpatria S.A.,04/01/2025 12:00:00 AM,14.223333333333334
BC-ESTABLECIMIENTO BANCARIO,Jurídica,Comercial ordinario,Garantía  fondo nacional de garantías (FNG) o Fondo de Garantías de Antioquia (FGA),Comerciales con recursos provenientes de redescuento,Más de 1 año y hasta 3 años,Scotiabank Colpatria S.A.,05/01/2025 12:00:00 AM,13.263333333333333
